0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.296631625182052,7.817905459186985,7.586482746616751,7.274626107427661,7.071771825941305,6.822841777525565,6.859302946593683,6.262408163012013,6.457278301949,6.6513330211849615,6.008387025599307,7.6909955136304475,11.451664222750297,10.929146142228134,10.40662806170597,9.8841099811838,9.361591900661635,8.839073820139472,8.749146945153168,8.975365895451393,6.474091755310392,6.4876109312379375,6.5104384919329235,6.763053868456542,6.889514326721834,13.151359638094386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47968181965803,8.104038920447072,7.643754272017095,7.619223441788563,7.31644447712779,7.33427749113944,6.68631416728609,6.634580808490452,7.1136079782249775,6.647798002157847,6.140677092803014,5.356785762839229,7.043848097793505,11.930599656670012,13.026169966968052,12.503651886445887,11.981133805923717,11.458615725401554,10.93609764487939,10.41357956435722,9.891061483835056,9.60178176367044,9.78503266857148,6.654498129365888,6.7421447478496805,6.698646668653062,6.981800909545255,7.10069470322653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.635767749977322,8.582495196689075,8.34296992276309,8.037170050188434,7.880812043390572,7.7834559091867,7.549481166577442,7.047477627658969,7.497396904080225,7.316136399960007,6.655640345703899,6.074779162633147,5.395172787454811,5.833512143297749,6.860705629358544,8.781191203458038,9.990418004515575,10.859033319438899,14.078157630663698,13.555639550141533,13.03312146961937,12.510603389097199,11.988085308575034,11.465567228052873,10.943049147530703,10.443866786460035,10.600708996594587,7.132921943612924,6.982386886275988,6.900457846893841,7.200547950634061,7.31187507973114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.275143871643397,8.854486151165407,8.413451493514895,8.407215148892424,8.03957793122423,8.09718404732698,7.506803536333631,7.678313552329023,7.839108751379538,7.275942790978657,6.720125369219852,5.941758130097094,6.213946591707226,6.362068657598778,5.906350311266814,5.995136228437886,7.3995513395490065,8.167357319951835,9.537484829085656,11.247704133953984,10.150232606551942,15.46979478900003,14.607627213837118,14.085109133314953,13.56259105279279,13.040072972270618,12.517554891748455,11.995036811226285,11.472518730704122,11.42467709831621,9.292795880159158,7.1934148196311805,7.130448919750757,7.411492329247261,7.523055456235835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.650425775975656,9.347084934191173,9.099457098909422,8.799713992949206,8.72558080477404,8.554309823294847,8.10694024302074,7.832698580710155,8.31476442827139,7.7949103402151,7.314500243623297,6.4878604474774,6.440734761475433,6.92853218387611,6.411119440183445,5.82786454541378,6.129208019707532,6.777093316989616,7.40469245587851,8.45843678826873,9.39503066029096,9.785196276074892,10.393045416730986,12.632472016586252,12.876500058979108,17.031369802332932,15.738671886360619,15.137096797010535,14.614578716488372,14.092060635966202,13.569542555444038,13.04702447492187,12.524506394399708,12.416338771631121,11.452669816705173,7.465792097823837,7.369441827165323,7.608876992716833,7.73423583274053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.087546505829849,9.604933381883729,9.183148715012692,9.212696048544919,8.774665005706265,8.83515221541007,8.3057881759934,8.70355398188031,8.476843721408187,7.85586802770611,7.1245761952200315,6.735348106459888,7.222544937808461,6.921276216791742,6.319310241803219,6.559238345954974,6.862550007279614,6.256076750103075,6.311934493088478,7.488423044630544,8.156100090209868,8.478512585788094,9.478486299682663,10.777507909444937,11.380523749605572,11.861587392730248,13.713669148394665,14.767969464087894,17.487874723446076,17.30024689969352,16.18908446070612,15.666566380183959,15.144048299661785,14.621530219139629,14.099012138617457,13.576494058095287,13.328374273391136,13.61254375325146,7.636612132063902,7.6340628253418465,7.806261656186319,7.94541620924523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.101318056101427,10.111674671693262,9.855944275055762,9.58244981216142,9.397505808510134,9.314204484253827,8.747492602542202,8.899348802709044,9.026884481574108,8.47560363203985,7.842424105493867,7.179761151082271,7.632562054443104,7.459305284995397,6.810755938192667,7.002123001954361,7.349123136582996,6.83109282471235,6.162982491308366,6.016514763535625,6.175793871138072,7.207669161961215,8.014770547497953,8.88311396664947,9.94465399313221,10.366574410463318,10.647826893262279,11.874029589708256,13.13893588935355,13.47854238368401,14.088059759748703,16.038606922284494,16.51332612567569,18.861821913026546,17.569123997054213,16.718554043879607,16.19603596335744,15.673517882835267,15.150999802313109,14.628481721790939,14.17534164107772,14.465103165579187,7.839159394787626,7.872882820533287,8.003646319655717,8.156596585749913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.177247480165246,10.356191465441432,9.952845936510494,9.941335177332261,9.679972003685366,9.508039173805793,9.085784713205319,9.515920878317804,8.942022678272354,8.474800635682698,7.738516989207343,8.072824313454992,7.975852745536667,7.34158543670579,7.445007657953722,7.834489751808995,7.4061088993217705,6.653916375919721,6.715983465825667,6.778050555731611,6.0133576039547245,6.434295320121655,7.70079622618953,8.559376741007592,9.232034689024738,9.646031555034327,10.21407100950628,11.112835626297773,12.113839103003428,12.57704873071711,12.817141200736582,14.204475249780854,15.12524635003997,15.555817465509207,17.50227895740028,17.398491814825583,20.42339692635945,19.13069901038713,17.8380010944148,17.248023627053026,16.725505546530858,16.202987466008686,15.680469385486527,15.157951304964358,15.260941984891168,9.100272547520381,8.102157163710581,8.223233589533407,8.367776962254691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.879167874915991,10.612431451202095,10.365791133918327,10.092380118794686,10.076638880550055,9.561290035002788,9.909711059680461,9.619184603449089,9.083999802984843,8.28235621653656,8.443963976041191,8.467461724070818,7.8739557661751824,7.857795951681325,8.319561875655078,7.981124973931195,7.1448502605310775,7.206917350437022,7.268984440342968,7.331051530248914,6.744579080220027,6.0907277935530715,6.753411624341862,7.940102402119648,8.486513887551242,9.147782624867494,9.872303124221656,10.78494858839352,11.43575764321535,11.982581151277822,12.483655506564764,13.317323865462413,14.283024212874647,14.787523050970904,15.142107244841478,16.522161672137912,17.15690956568536,17.783074102766435,19.54552092365996,21.984971939692336,20.69227402372004,19.399576107747713,18.300011290748607,17.777493210226446,17.254975129704277,16.732457049182106,16.209938968659934,16.079361005020715,11.260146484066588,8.352636055078651,8.44295131394344,8.578957338759308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.371022645347825,11.108361523708222,10.722543158008296,10.602030467894764,10.53100632293721,9.993424788497268,10.120384053089067,10.21519552223697,9.574484028226314,8.892366627600776,8.67075214580947,9.076740542033804,8.509736013282602,8.22467051252959,8.80463399950115,8.544342840904198,7.635784145142452,7.697851235048397,7.759918324954344,7.821985414860289,7.8840525047662355,7.580413162843472,6.846380123094669,6.848746170874781,6.886532315210956,8.034072704099852,8.801216311202158,9.657193102288648,10.359099164365153,10.881347271019283,11.436871373363704,12.056845114052825,12.758743739691038,13.656178726464443,14.331133218826745,14.769851946181946,15.471080054399398,16.45220932274585,16.997997371224702,17.513616971156555,18.872359932234048,19.250047538287994,20.843634690102945,23.07840764836139,22.25384903705305,20.961151121080757,19.668453205108428,18.829480873922087,18.30696279339991,17.784444712877757,17.26192663235559,17.015100447119828,13.420020420613426,8.572673517571932,8.63451782944589,8.790137715263992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
